[2023-02-20 13:47:10.079][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 율현중학교 발견 
[2023-02-20 13:47:10.080][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 인하대학교 발견 
[2023-02-20 13:47:10.081][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 난우중학교 발견 
[2023-02-20 13:47:10.081][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 영덕중학교 발견 
[2023-02-20 13:47:10.081][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 창일중학교 발견 
[2023-02-20 13:47:10.082][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 배문중학교 발견 
[2023-02-20 13:47:10.083][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 홍익대학교 발견 
[2023-02-20 13:47:10.083][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 잠신중학교 발견 
[2023-02-20 13:47:10.084][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 양청중학교 발견 
[2023-02-20 13:47:10.085][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 삼호중학교 발견 
[2023-02-20 13:47:10.085][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 경기국제통상고등학교 발견 
[2023-02-20 13:47:10.085][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 경기국제통상고등학교 발견 
[2023-02-20 13:47:10.085][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 은행중학교 발견 
[2023-02-20 13:47:10.085][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 은행중학교 발견 
[2023-02-20 13:47:10.085][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 은행중학교 발견 
[2023-02-20 13:47:10.086][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 경기국제통상고등학교 발견 
[2023-02-20 13:47:10.086][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 과천중학교 발견 
[2023-02-20 13:47:10.086][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 석우중학교 발견 
[2023-02-20 13:47:10.086][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 양덕여자중학교 발견 
[2023-02-20 13:47:10.087][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 하양여자중학교 발견 
[2023-02-20 13:47:10.087][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 목포하당중학교 발견 
[2023-02-20 13:47:10.088][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 선린인터넷고등학교 발견 
[2023-02-20 13:47:10.088][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 월봉초등학교 발견 
[2023-02-20 13:47:10.088][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 율현중학교 발견 
[2023-02-20 13:47:10.089][INFO ] --- [main] org.example.SchoolFinder[findValidSchool:46] - 근명중학교 발견 
[2023-02-20 13:47:10.090][WARN ] --- [main] org.example.SchoolFinder[findValidSchool:73] - (WARNING)알수없는 라인

"서울연희미용고저희고는학생들이전국구에서모이다보니아침도못먹고일찍학교에오는친구들이태반이에요점심도급식으로안나오고도시락업체에서신청받아먹는데너무맛없어서굶거나매점가서먹거나집에서싸와서먹는학생들도있어요서울연희미용고짜장면이먹고싶어요도와주세요앙기모찌수진원예진박가연맹채빈일이삼양수연박민지이승민수빈예진김보은강수연이세빈김도연이수진최하나김민지이미연"

 
